"","RAV188","RAV579","RAV832","RAV1166","RAV220","RAV833","RAV1302","RAV324","RAV1008","RAV1575","RAV868","RAV61","RAV834","RAV517","RAV192"
"TCGA.SS.A7HO",-0.305481688235381,0.511396984575614,0.937609261729356,1.27456423713588,-1.00845528281408,0.053569585251003,0.0160649956806904,-0.0321919644248101,-0.978555043769359,-1.33840041441239,0.606628649628656,0.938894395999934,-1.02471581801994,0.886995755028048,1.05822344317719
"TCGA.CK.5914",-0.166021980518239,-0.154046377824502,0.801294726165067,0.994114320695663,-0.861782375247151,-0.0221238753182861,0.21797324009071,0.50200683311298,-0.605307076638976,-0.412802467736831,0.777699324287711,0.315807784649664,-0.557412921876362,-0.754749768618245,0.140520823164529
"TCGA.AZ.4615",0.161665532998239,-0.672841604099956,0.591734137345456,-0.0533334863737696,-0.290656514383292,-0.105263330400988,-0.35940398430922,0.685982125083784,-0.333467580549087,0.252169537275972,0.413058137690031,0.119974286714314,1.87209870915799,-1.94949377689018,-0.482129436531817
"TCGA.G4.6322",-0.174278668173523,-0.0118721496411862,-0.0703627013193637,0.241810787354475,-0.360487891879041,0.740877446285008,0.303996860354914,0.287708131905895,-0.119382136921703,-0.187530992523409,0.858721505130071,0.0172518518528975,0.837791431873879,-0.360491823430041,0.982415749234787
"TCGA.F4.6704",2.16504277268018,-1.55568884682888,0.203487240379728,-0.843945139361293,1.34284789548092,-1.27134099842599,0.193069456907304,-1.49464795575761,1.69548756688794,1.74691198496493,-0.0405586491363817,-2.27770336090296,-0.543356460964601,-0.245754985682932,-0.121848479218538
"TCGA.CM.6161",0.270034318448219,-0.087740728149236,0.0321375959089528,-0.00633645273325921,-0.126833543327664,-0.115127741419819,0.0307212828496003,-0.482759118767031,0.231235478879078,0.310671822139105,0.111611497870766,-0.292355892409384,-0.356477051668073,0.565551475410074,-0.586069857412983
"TCGA.NH.A50T",-0.990633958782316,0.836835209255336,0.748788611602326,1.57372951231694,-1.64266166900651,0.595634546665555,0.224621714020037,1.03644139836828,-1.57164206017886,-1.61969143274277,1.11370249330037,1.32634969467679,-0.390829819852564,-0.0452973137074632,1.42709291071144
"TCGA.AA.3663",0.491717045982711,0.58443289654196,-2.2562742049141,-2.25963035718768,2.13138951113315,-0.778134863043584,0.0986868369548764,-1.854283436442,1.61937671426673,1.07770556666476,-2.28883285129704,-1.11217421820278,-0.0221059745558167,1.89151524801052,-1.76849650236745
"TCGA.F4.6855",0.699401770507657,-0.538465935273659,0.582282566745931,-0.292140411690123,0.349239662914046,-1.58054473892162,-1.31095011997314,-0.820147606546637,0.623616536265569,0.441941055162159,-0.976952164970461,0.136352872830854,-1.27491672257339,0.484445209064647,-0.906889666694561
"TCGA.F4.6460",0.779251062321898,-0.149242147241327,0.00224264290086718,-0.313283120766488,0.81975239130502,-0.960102912994846,-0.200150741762698,-1.18256530117425,0.834479869232075,0.424196982938995,-1.03170134587017,-0.590668377381313,-1.20579450629685,1.53414481963309,-0.375706094423487
"TCGA.AA.3655",-0.173622384795099,1.28342913008775,-2.39210137996774,-1.8953198457933,1.73382222027546,0.390101212428664,1.22736632708953,-1.00567267138845,1.1557938767348,0.808762993002319,-1.1381357845737,-1.09080966782968,0.552514868984644,1.25495989970747,-1.33632792714702
"TCGA.D5.6531",0.321092377188342,-0.612988019840436,0.986443100497143,0.408284999197696,-0.363309121033791,-0.670215502695148,-0.631846585564672,-0.00395277452609223,-0.222610365678262,-0.0397601864513985,-0.0695583651456678,0.120138167724317,0.0791780210669084,-0.773757014152115,-0.304016200130179
"TCGA.A6.6137",-0.503562453310152,0.312484307337224,-0.440585881540776,-0.00291009250585974,-0.034030648918916,0.651946082560636,0.431660136770827,0.241135306770058,0.0904836777004881,0.0901344371381458,0.0893650761261075,-0.0759322484128734,0.108745820744294,0.323654598385707,0.200502477103037
"TCGA.AD.6895",0.614971924231707,-1.21934904125537,0.365013353769608,-0.150588682619813,-0.0364199787482614,-0.361899338780104,-1.00064004413784,0.471453642436755,-0.161326339826997,0.450658291666362,-0.25787289169718,-0.0244778821773929,1.67379425183329,-1.65114620378136,0.0276153865244822
"TCGA.D5.6535",-0.0965626204829299,-0.436863458976858,0.0329093289344514,0.152685325391281,-0.237121736676993,0.15737045036606,-0.352071892711501,0.483594592815208,-0.124824451385479,0.131523481318267,0.0674020925999206,0.167488178103875,0.218140051444984,-0.560934435983406,-0.126241794233695
"TCGA.CK.5912",-0.45333351216863,0.455267103262966,0.433978287303006,0.698154183566268,-0.72297959444971,0.141831227610107,-0.0502901216735801,0.167020116895838,-0.473724360234737,-0.743711021414089,0.47283871095224,0.771438214748205,-1.19765909281515,0.528721844681113,-0.275088899787326
"TCGA.G4.6309",-0.660345955861051,0.360824259345893,0.255309891102269,0.611576408633073,-1.01112536450929,0.859083027667128,-0.184646819615563,0.857308074587078,-1.03424159665609,-1.12962374393208,0.593655467376036,1.02809311018848,1.45773672229929,-0.399262262620323,0.918235872547222
"TCGA.AA.3697",0.479292206857405,-0.169949537298507,-1.94679474611452,-1.73388420629782,1.74419870538695,0.167401331323506,0.626316803146029,-0.813186208602428,1.30537900514276,1.3421612667488,-1.13551879809589,-1.6254121026968,1.00185853828749,-0.0697051485073715,-1.0634883959562
"TCGA.G4.6307",-1.0489765038684,1.11068967267535,0.355350372287273,1.40966408810441,-0.804271505346774,1.21622468054205,1.34793339467486,1.20999510985721,-1.0325197322274,-1.08194507726364,1.60135600335791,0.442566165841372,-0.268817373954093,0.00675029757935045,2.20164443261003
